Game 1, Team 1, Team 2, Points
1, Weston Davis, Kevin Xu, 1
1, Brandon LaRosa, Jonathon McKinnon, 0
1, Yachi Yang, Kai Schwarz, 0
1, , , 1
,,,
Game 2, Team 1, Team 2, Points
0, Sam Sadtler, Timtim Weeks, 2
0, Kenny Vilayvong, Jordan Jones, 1
0, Andreas Archuleta, Non Wor, 0
0, , , 3
,,,
Game 3, Team 1, Team 2, Points
0, Tyrone yanaga, Gabe Tong, 0
0, Jacq Santos, Mayo Costanza, 1
0, Sean brady, Shawn Hurley, 1
2, , , 2
,,,
Game 4, Team 1, Team 2, Points
1, Steve Geluso, Annika Garman, 0
1, Cooper Kim, Gavin Thurston, 1
1, Mike O’Brien, Vincent Bono, 3
1, , , 4
,,,
Game 5, Team 1, Team 2, Points
0, Josh Scott, B Lashua, 2
0, Mike Hernandez, Ernie Adapon, 1
0, Jillan Browy, Ari McGnarly, 0
3, , , 3
,,,
Game 6, Team 1, Team 2, Points
3, Tyler Farris, Arlyn Bement, 3
3, Waffles Hidalgo, Fred Marshall, 1
3, Jason Jensen, Jennifer Haliewicz, 0
3, , , 4
,,,
Game 7, Team 1, Team 2, Points
1, Aaron Hand, Andrew Weyland, 2
1, Drew Thomas, Isaac Navarro, 1
1, Diego Arévalo, Erik Graciosa, 0
2, , , 3
,,,
Game 8, Team 1, Team 2, Points
1, Julian Aristeo, Sergio Pineda, 2
1, Jordan Bailey, Sabrina Zhou, 0
1, Jeff Cleary, Adam Cook, 0
2, , , 2
,,,
Game 9, Team 1, Team 2, Points
0, Nick Lagasse, Bernadette Watts, 2
0, Ralph Hayden, Vince Foley, 2
0, Nicole Lettenmaier-Scott, Jay Ryan, 0
0, , , 4
,,,
Game 10, Team 1, Team 2, Points
0, Carol Camilleri, kody schiermeier, 0
0, Krista Carlson, Makenzie Mayfield, 1
0, Daryl Witmore, Megan Branch, 0
0, , , 1
,,,
